game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,56.0,4.0,3.0,29.0,,211.0,1.0
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,53.0,4.0,3.0,37.0,,173.0,
FOOTBALL_CFL_2019_10_26_SSK@EDM,2019-10-26,2019,1,CFL,SSK,EDM,45.0,7.0,2.0,7.0,,242.0,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,67.0,9.0,6.0,73.0,,431.0,2.0
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,58.0,5.0,3.0,32.0,,261.0,1.0
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,43.0,3.0,2.0,13.0,,124.0,
FOOTBALL_CFL_2019_6_13_SSK@HAM,2019-06-13,2019,1,CFL,SSK,HAM,52.0,8.0,7.0,103.0,1.0,365.0,
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,59.0,7.0,4.0,100.0,,338.0,
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,60.0,4.0,3.0,74.0,,195.0,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,77.0,5.0,,,,293.0,2.0
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,72.0,4.0,2.0,1.0,,223.0,1.0
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,58.0,5.0,3.0,39.0,,243.0,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,60.0,7.0,5.0,45.0,,322.0,1.0
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,65.0,9.0,7.0,143.0,,504.0,2.0
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,62.0,7.0,5.0,179.0,1.0,365.0,1.0
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,64.0,7.0,7.0,63.0,,369.0,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,69.0,6.0,2.0,16.0,,318.0,1.0
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,49.0,4.0,2.0,5.0,,178.0,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,63.0,7.0,4.0,92.0,1.0,328.0,1.0
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,56.0,2.0,1.0,,,99.0,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,70.0,9.0,7.0,106.0,,437.0,1.0
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,51.0,9.0,8.0,86.0,,389.0,
