game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,blocks,callahans,catches,completions,drops,goals,goals_minus_xg,goals_plus_assists,hockeyAssists,hucksCompleted,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,pulls,shots,shots_on_target,throwAttempts,throwaways,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added,yardsReceived,yardsThrown
soccer-uslc-2021-wvq9jx1QWn,,2021,1,USLC,,,0.0,0.0,14.3155,-2.7089,,,,,,0.0,0.0,0.0,,,0.0,62.0,0.9,10.0,0.423,4.2303,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.8577,0.0,,
soccer-uslc-2022-wvq9jx1QWn,,2022,1,USLC,,,2.0,1.098,17.4029,1.7586,,,,,,2.0,-0.1611,4.0,,,8.0,1190.0,0.7403,362.0,-7.5121,-2.0752,1.2942,,12.0,5.0,,,0.902,2.1611,0.6013,3.0631,0.7611,1.0892,,
soccer-mls-2023-KAqBN0Vqbg,,2023,1,MLS,,,0.0,0.0,12.1757,-11.155,,,,,,0.0,0.0,0.0,,,0.0,11.0,1.0,1.0,0.0101,1.0071,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.9899,0.0,,
soccer-mlsnp-2023-wvq9jx1QWn,,2023,1,MLSNP,,,5.0,1.7435,16.4581,0.3737,,,,,,4.0,-0.8133,9.0,,,25.0,2252.0,0.7288,542.0,4.9328,0.9101,1.5862,,25.0,9.0,,,3.2565,4.8133,-0.6621,8.0698,0.7197,2.7576,,
2023-05-13-IND-CHI,2023-05-13,2023,3,AUDL,INDIANAPOLIS ALLEYCATS,CHICAGO UNION,1.0,,,,,,6.0,6.0,1.0,,,,,1.0,,,,,,,,5.0,,,7.0,1.0,,,,,,,33.0,85.0
2023-05-27-CHI-MAD,2023-05-27,2023,5,AUDL,CHICAGO UNION,MADISON RADICALS,2.0,,,,,,3.0,2.0,,,,,1.0,,,,,,,,,8.0,,,2.0,1.0,,,,,,,-7.0,18.0
2023-06-03-CHI-MIN,2023-06-03,2023,6,AUDL,CHICAGO UNION,MINNESOTA WIND CHILL,,,,,1.0,,5.0,7.0,,,,,1.0,,,,,,,,,10.0,,,7.0,,,,,,,,-14.0,45.0
2023-06-10-CHI-IND,2023-06-10,2023,7,AUDL,CHICAGO UNION,INDIANAPOLIS ALLEYCATS,1.0,,,,1.0,,9.0,9.0,,,,,,1.0,,,,,,,,8.0,,,11.0,2.0,,,,,,,49.0,113.0
2023-06-23-DET-CHI,2023-06-23,2023,9,AUDL,DETROIT MECHANIX,CHICAGO UNION,3.0,,,,1.0,,12.0,14.0,,1.0,,,1.0,1.0,,,,,,,,,,,17.0,3.0,,,,,,,49.0,138.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,AUDL,CHICAGO UNION,PITTSBURGH THUNDERBIRDS,0.0,,,,1.0,,6.0,7.0,,,,,,,,,,,,,,0.0,,,8.0,0.0,,,,,,,47.0,135.0
2023-07-08-PIT-CHI,2023-07-08,2023,11,AUDL,PITTSBURGH THUNDERBIRDS,CHICAGO UNION,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
2023-07-21-MAD-CHI,2023-07-21,2023,13,AUDL,MADISON RADICALS,CHICAGO UNION,1.0,,,,1.0,,15.0,18.0,,1.0,,,1.0,1.0,,,,,,,,4.0,,,19.0,1.0,,,,,,,-10.0,114.0
soccer-mls-2024-KAqBN0Vqbg,,2024,1,MLS,,,0.0,-0.4825,15.5519,-2.7695,,,,,,0.0,-0.634,0.0,,,1.0,207.0,0.8148,27.0,0.7136,2.643,0.0,,2.0,0.0,,,0.4825,0.634,-0.634,1.1165,0.7884,1.2217,,
soccer-mlsnp-2024-wvq9jx1QWn,,2024,1,MLSNP,,,1.0,-1.0284,17.1723,1.2379,,,,,,4.0,2.5586,5.0,,,16.0,955.0,0.7668,253.0,12.6177,4.9872,2.1956,,13.0,7.0,,,2.0284,1.4414,1.0704,3.4697,0.7169,0.7404,,
soccer-mls-2025-KAqBN0Vqbg,,2025,1,MLS,,,0.0,-0.8405,16.4154,-2.3989,,,,,,0.0,-0.542,0.0,,,4.0,615.0,0.7654,162.0,1.2783,0.7891,0.0,,5.0,1.0,,,0.8405,0.542,0.1954,1.3825,0.7575,0.2323,,
soccer-mlsnp-2025-wvq9jx1QWn,,2025,1,MLSNP,,,0.0,-1.2896,19.4433,2.8082,,,,,,2.0,-0.2902,2.0,,,7.0,487.0,0.8169,142.0,12.1638,8.5661,0.9398,,11.0,6.0,,,1.2896,2.2902,-0.2688,3.5798,0.7312,1.4366,,
soccer-mls-2026-KAqBN0Vqbg,,2026,1,MLS,,,0.0,-0.4803,14.7781,-2.8485,,,,,,0.0,-0.4923,0.0,,,2.0,163.0,0.7813,64.0,-2.0211,-3.1579,0.0,,4.0,1.0,,,0.4803,0.4923,0.1589,0.9726,0.8128,0.3411,,
soccer-mlsnp-2026-wvq9jx1QWn,,2026,1,MLSNP,,,1.0,0.7639,18.6603,0.3069,,,,,,1.0,0.5877,2.0,,,3.0,175.0,0.7955,44.0,2.1392,4.8619,0.4987,,6.0,2.0,,,0.2361,0.4123,0.1541,0.6484,0.7468,0.2243,,
2026-05-02-CHI-MIN,2026-05-02,2026,2,UFA,union,windchill,1.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,-47.0,124.0
