game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,27.0,4.0,8.0,1.0,51.0,60.0,,,,9.0,8.0,,34.0,1.0,6.0,,1.0
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,8.0,4.0,5.0,,20.0,24.0,,,,9.0,12.0,1.0,45.0,,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,1.0,2.0,,,,19.0,1.0,19.0,6.0,6.0,,19.0,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,11.0,3.0,5.0,,10.0,10.0,,,,8.0,68.0,,92.0,,,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,18.0,2.0,4.0,,28.0,28.0,,,,5.0,34.0,,48.0,,,,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,1.0,1.0,,-1.0,,15.0,1.0,15.0,3.0,12.0,,19.0,,,,
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,2.0,1.0,2.0,,2.0,2.0,18.0,1.0,18.0,1.0,2.0,,2.0,,,,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,2.0,2.0,2.0,,1.0,1.0,20.0,1.0,20.0,5.0,12.0,,24.0,,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,1.0,1.0,,,,,,,,,,5.0,12.0,,36.0,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,,,,,,,4.0,5.0,,9.0,,,,
FOOTBALL_CFL_2019_7_25_TOR@EDM,2019-07-25,2019,1,CFL,TOR,EDM,,,,,,,,,,,,9.0,21.0,,42.0,,,,
FOOTBALL_CFL_2019_8_16_EDM@TOR,2019-08-16,2019,1,CFL,EDM,TOR,,,,1.0,3.0,1.0,27.0,27.0,,,,5.0,29.0,,43.0,1.0,6.0,,1.0
FOOTBALL_CFL_2019_8_1_WPG@TOR,2019-08-01,2019,1,CFL,WPG,TOR,,,20.0,6.0,6.0,,39.0,50.0,,,,5.0,19.0,,37.0,,,,
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,,,23.0,5.0,6.0,,56.0,67.0,,,,6.0,13.0,,37.0,,,,
