game_id,date,season,week,league,away,home,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-ipl-2025-03-30-1473447,2025-03-30,2025,1,IPL,Sunrisers Hyderabad,Delhi Capitals,24.0,0.0,0.0,42.0,3.0,0.0,,,1.0
cricket-ipl-2025-04-03-1473452,2025-04-03,2025,1,IPL,Kolkata Knight Riders,Sunrisers Hyderabad,18.0,0.0,0.0,25.0,1.0,0.0,1.0,,1.0
cricket-ipl-2025-04-06-1473457,2025-04-06,2025,1,IPL,Sunrisers Hyderabad,Gujarat Titans,24.0,0.0,0.0,33.0,0.0,0.0,,,1.0
cricket-ipl-2025-04-12-1473464,2025-04-12,2025,1,IPL,Punjab Kings,Sunrisers Hyderabad,24.0,0.0,0.0,41.0,0.0,2.0,,,1.0
cricket-ipl-2025-04-17-1473470,2025-04-17,2025,1,IPL,Sunrisers Hyderabad,Mumbai Indians,19.0,0.0,1.0,35.0,0.0,1.0,2.0,,1.0
cricket-ipl-2025-04-23-1473478,2025-04-23,2025,1,IPL,Sunrisers Hyderabad,Mumbai Indians,22.0,0.0,0.0,36.0,1.0,0.0,,,1.0
cricket-ipl-2025-04-25-1473480,2025-04-25,2025,1,IPL,Chennai Super Kings,Sunrisers Hyderabad,18.0,0.0,0.0,27.0,0.0,0.0,,,1.0
cricket-ipl-2025-05-02-1473488,2025-05-02,2025,1,IPL,Gujarat Titans,Sunrisers Hyderabad,24.0,0.0,0.0,42.0,1.0,1.0,,,1.0
cricket-ipl-2025-05-05-1473492,2025-05-05,2025,1,IPL,Delhi Capitals,Sunrisers Hyderabad,18.0,0.0,0.0,30.0,0.0,0.0,,1.0,1.0
cricket-ipl-2025-05-19-1473499,2025-05-19,2025,1,IPL,Lucknow Super Giants,Sunrisers Hyderabad,12.0,0.0,0.0,22.0,0.0,1.0,,,1.0
