game_id,date,season,week,league,away,home,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,3.0,13.0,1.0,26.0,-5.0,65.0,9.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,1.0,2.0,1.0,1.0,1.0,11.0,1.0
