game_id,date,season,week,league,away,home,def_int,def_sack,def_solo,def_tot,def_ydsl,fumble_recoveries,interceptions_made,sacks,tackles
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,2.0,2.0,,,,,
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,2.0,2.0,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,2.0,2.0,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,1.0,1.0,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,1.0,1.0,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,1.0,1.0,,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,3.0,3.0,,,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,5.0,5.0,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,2.0,2.0,,,,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,1.0,4.0,4.0,8.0,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,4.0,4.0,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,1.0,1.0,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,1.0,4.0,4.0,1.0,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,3.0,3.0,,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,1.0,1.0,,,,,
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,3.0,3.0,,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,3.0,3.0,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,2.0,3.0,3.0,18.0,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,2.0,2.0,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,2.0,2.0,,,,,
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,1.0,1.0,1.0,6.0,,,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,1.0,1.0,,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,2.0,3.0,3.0,13.0,,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,2.0,2.0,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,2.0,2.0,2.0,16.0,,,,
