game_id,date,season,week,league,away,home,def_fr,def_pd,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,5.0,42.0,10.0,3.0,53.0,2.0,1.0,33.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,4.0,12.0,7.0,155.0,1.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,3.0,16.0,12.0,,,,,
