game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,kr_yds,pr_no,pr_td,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,2.0,12.0,23.0,546.0,15.0,,91.0,65.0,14.0,1010.0,7.0,41.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,12.0,18.0,602.0,10.0,1.0,219.0,47.0,9.0,600.0,8.0,71.0
