game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pr,score_pts,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,4.0,7.0,1.0,6.0,32.0,1.0,1.0,,1.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,10.0,3.0,7.0,,8.0,14.0,48.0,7.0,,95.0,,,,,,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,41.0,5.0,11.0,,34.0,64.0,39.0,3.0,,49.0,,,,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,1.0,1.0,32.0,5.0,9.0,,38.0,63.0,41.0,4.0,,88.0,,,,,,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,14.0,5.0,5.0,,9.0,37.0,6.0,1.0,,6.0,,,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,3.0,3.0,,11.0,19.0,1.0,41.0,146.0,,,,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,9.0,6.0,9.0,,27.0,37.0,11.0,2.0,,13.0,1.0,7.0,7.0,,,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,15.0,5.0,6.0,,16.0,36.0,15.0,4.0,,40.0,1.0,10.0,10.0,,,,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,,,20.0,6.0,7.0,,31.0,61.0,9.0,3.0,,7.0,,,,,,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,32.0,6.0,6.0,1.0,35.0,58.0,3.0,1.0,,3.0,1.0,9.0,9.0,,1.0,,6.0,1.0
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,1.0,1.0,9.0,7.0,10.0,,3.0,26.0,11.0,6.0,,34.0,1.0,11.0,11.0,,,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,65.0,8.0,10.0,,60.0,132.0,5.0,1.0,,5.0,,,,,,,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,1.0,1.0,32.0,3.0,8.0,1.0,2.0,71.0,17.0,2.0,,23.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,60.0,9.0,11.0,,49.0,133.0,40.0,6.0,,165.0,,,,,,,,
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,70.0,3.0,5.0,1.0,46.0,116.0,22.0,5.0,,49.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,9.0,14.0,1.0,47.0,157.0,37.0,4.0,,98.0,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,,,6.0,3.0,4.0,,,8.0,15.0,3.0,,29.0,,,,,,,,
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,,3.0,3.0,1.0,45.0,107.0,34.0,4.0,1.0,96.0,,,,,1.0,1.0,12.0,2.0
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,30.0,1.0,6.0,,2.0,30.0,,,,,,,,,,,,
