game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,7.0,,,10.0,5.0,,13.0,,12.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,4.0,,,16.0,2.0,,20.0,,6.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,5.0,,,18.0,3.0,,20.0,,8.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,8.0,,,13.0,2.0,,22.0,,10.0,1.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
