game_id,date,season,week,league,away,home,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,11.0,14.0,1.0,61.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,27.0,7.0,5.0,131.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,43.0,18.0,7.0,137.0
