game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_int,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,19.0,357.0,1.0,,1.0,,,,5.0,,39.0,1.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,2.0,62.0,,,,,,,15.0,,131.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,,,4.0,2.0,,20.0,,,7.0,,79.0,1.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,1.0,18.0,,,,,1.0,18.0,50.0,6.0,748.0,1.0
