game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,,,8.0,2.0,2.0,,7.0,16.0,,,,,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,49.0,4.0,5.0,1.0,13.0,64.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,,8.0,12.0,2.0,76.0,132.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,,4.0,4.0,1.0,13.0,68.0,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,35.0,10.0,14.0,,32.0,150.0,,,,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,26.0,4.0,8.0,,7.0,56.0,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,25.0,6.0,8.0,1.0,4.0,68.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,,61.0,10.0,11.0,2.0,66.0,180.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,11.0,4.0,7.0,,20.0,39.0,,,,,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,,28.0,6.0,15.0,,41.0,83.0,,,,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,1.0,1.0,,,6.0,12.0,1.0,16.0,46.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,,40.0,6.0,6.0,,33.0,128.0,,,,,,,
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,,,35.0,4.0,6.0,,31.0,69.0,,,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,,,5.0,9.0,2.0,21.0,105.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,26.0,2.0,8.0,,26.0,27.0,,,,,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,,24.0,7.0,7.0,,45.0,96.0,,,,1.0,,2.0,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,1.0,20.0,8.0,13.0,,16.0,61.0,,,,,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,,,7.0,9.0,2.0,40.0,164.0,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,5.0,7.0,1.0,17.0,68.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,,,29.0,8.0,12.0,,14.0,64.0,,,,,,,
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,,14.0,5.0,7.0,,15.0,33.0,,,,,,,
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,1.0,1.0,,43.0,6.0,8.0,,27.0,101.0,,,,,,,
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,,,6.0,8.0,2.0,43.0,103.0,1.0,-1.0,-1.0,,2.0,12.0,2.0
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,15.0,6.0,10.0,,32.0,52.0,,,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,,8.0,3.0,8.0,,2.0,20.0,,,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,26.0,5.0,7.0,,15.0,87.0,,,,,,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,1.0,1.0,,11.0,5.0,8.0,,17.0,36.0,,,,,,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,,15.0,5.0,7.0,2.0,24.0,50.0,,,,1.0,2.0,14.0,2.0
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,,,,,6.0,6.0,1.0,8.0,38.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,,11.0,6.0,8.0,,24.0,48.0,,,,,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,20.0,5.0,8.0,,13.0,53.0,,,,,,,
FOOTBALL_CFL_2017_8_18_CGY@BC,2017-08-18,2017,1,CFL,CGY,BC,,,,18.0,10.0,12.0,,27.0,89.0,,,,,,,
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,1.0,1.0,,52.0,7.0,9.0,,12.0,101.0,,,,,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,,26.0,5.0,6.0,,3.0,67.0,,,,,,,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,,,,25.0,1.0,5.0,,1.0,25.0,,,,,,,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,,,43.0,5.0,7.0,,7.0,62.0,,,,,,,
FOOTBALL_CFL_2017_9_8_MTL@BC,2017-09-08,2017,1,CFL,MTL,BC,1.0,1.0,,,6.0,9.0,1.0,19.0,108.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,,18.0,4.0,5.0,,19.0,41.0,,,,,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,,37.0,3.0,4.0,,26.0,65.0,,,,,,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,19.0,7.0,11.0,,15.0,63.0,,,,,,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,,,,78.0,5.0,9.0,1.0,46.0,152.0,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,1.0,1.0,,7.0,2.0,4.0,,3.0,12.0,,,,,,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,,35.0,5.0,9.0,,25.0,90.0,,,,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,,20.0,2.0,2.0,,21.0,38.0,,,,,,,
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,,,,48.0,3.0,7.0,,10.0,53.0,,,,,,,
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,,39.0,1.0,5.0,,39.0,39.0,,,,,,,
