game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,8.0,49.0,26.0,1.0,201.0,8.0,1.0,8.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,7.0,,,,,,,
