game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
cricket-t20i-2022-11-18-1343745,2022-11-18,2022,1,T20I,Lesotho,Botswana,2.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,1.0,24.0,0.0,1.0,,1.0
cricket-t20i-2022-11-21-1343753,2022-11-21,2022,1,T20I,Kenya,Lesotho,8.0,0.0,0.0,7.0,1.0,0.0,,,,,,,,1.0
cricket-t20i-2022-11-22-1343757,2022-11-22,2022,1,T20I,St Helena,Lesotho,7.0,0.0,0.0,7.0,5.0,0.0,6.0,0.0,1.0,22.0,0.0,0.0,1.0,1.0
cricket-t20i-2024-09-21-1450751,2024-09-21,2024,1,T20I,Malawi,Lesotho,10.0,0.0,0.0,4.0,5.0,0.0,18.0,0.0,0.0,19.0,1.0,1.0,,1.0
cricket-t20i-2024-09-25-1450761,2024-09-25,2024,1,T20I,Lesotho,Mali,22.0,2.0,0.0,6.0,17.0,0.0,,,,,,,,1.0
cricket-t20i-2024-09-26-1450764,2024-09-26,2024,1,T20I,Lesotho,Cameroon,4.0,0.0,0.0,7.0,0.0,0.0,12.0,1.0,0.0,11.0,0.0,0.0,,1.0
