game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,4.0,,,13.0,2.0,,4.0,,6.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,,,8.0,,,,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,11.0,,,18.0,,,10.0,,11.0,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,6.0,,,18.0,4.0,,8.0,,10.0,1.0,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,2.0,2.0,2.0,,0.0,2.0,,2.0,,,2.0,2.0
