game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,,,1.0,1.0,,,,1.0,,1.0,
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,,,5.0,5.0,,,,6.0,1.0,-13.0,25.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,,1.0,2.0,3.0,,,,3.0,,29.0,2.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,,,,1.0,,,,1.0,,,-2.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,,HTX,DAL,,,1.0,1.0,1.0,,,1.0,,5.0,8.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,,DAL,HTX,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
