game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,4.0,2.0,,9.0,,,,16.0,,,,,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,42.0,30.0,1.0,39.0,,,1.0,332.0,,,,,,,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,41.0,26.0,1.0,28.0,,1.0,1.0,259.0,1.0,2.0,,2.0,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,1.0,1.0,28.0,24.0,1.0,,16.0,2.0,1.0,285.0,1.0,6.0,,6.0,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,36.0,27.0,,39.0,5.0,1.0,2.0,299.0,1.0,7.0,,7.0,,,
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,39.0,22.0,2.0,42.0,5.0,1.0,,271.0,2.0,16.0,,19.0,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,30.0,25.0,,,37.0,4.0,5.0,382.0,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,38.0,29.0,4.0,20.0,16.0,3.0,1.0,283.0,1.0,5.0,,5.0,,,
FOOTBALL_CFL_2016_9_1_OTT@MTL,2016-09-01,2016,1,CFL,OTT,MTL,,,33.0,21.0,2.0,36.0,16.0,2.0,1.0,205.0,2.0,7.0,,12.0,,,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,,,39.0,29.0,2.0,50.0,12.0,2.0,2.0,387.0,1.0,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,3.0,1.0,,19.0,12.0,2.0,,19.0,,,,,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,14.0,7.0,,,7.0,1.0,2.0,104.0,,,,,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,8.0,3.0,,17.0,8.0,1.0,,29.0,,,,,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,28.0,18.0,,44.0,,,1.0,252.0,3.0,7.0,1.0,10.0,6.0,1.0,1.0
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,13.0,6.0,3.0,28.0,8.0,1.0,,87.0,,,,,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,10.0,5.0,,19.0,10.0,1.0,,63.0,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,44.0,31.0,1.0,33.0,6.0,1.0,1.0,298.0,5.0,7.0,,16.0,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,49.0,36.0,2.0,36.0,15.0,3.0,4.0,377.0,1.0,2.0,,2.0,,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,29.0,20.0,,25.0,31.0,5.0,,203.0,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,37.0,24.0,,49.0,15.0,2.0,4.0,340.0,,,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,43.0,32.0,1.0,34.0,8.0,1.0,2.0,380.0,4.0,,2.0,12.0,12.0,2.0,2.0
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,25.0,19.0,1.0,39.0,12.0,2.0,3.0,320.0,4.0,10.0,,18.0,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,31.0,19.0,1.0,28.0,14.0,2.0,2.0,240.0,1.0,3.0,,3.0,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,27.0,19.0,2.0,26.0,15.0,2.0,,186.0,2.0,11.0,,12.0,,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,19.0,12.0,1.0,35.0,23.0,4.0,,127.0,,,,,,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,32.0,20.0,1.0,43.0,7.0,1.0,,252.0,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,36.0,26.0,,,9.0,1.0,3.0,386.0,,,,,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,22.0,15.0,2.0,,6.0,2.0,2.0,327.0,1.0,10.0,,10.0,,,
