game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,0.0,0.0,0.0,59.0,,,1.0,98.0
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,0.0,,0.0,48.0,,,0.0,27.0
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,0.0,,0.0,130.0,,,1.0,94.0
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,0.0,0.0,1.0,98.0,,,0.0,14.0
SYNTHETIC_USFL_W5_NJ,,,5,USFL,,,1.0,,0.0,213.0,,,2.0,39.0
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,0.0,,1.0,52.0,,,0.0,4.0
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,1.0,0.0,0.0,60.0,,,0.0,4.0
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,0.0,0.0,0.0,112.0,,,0.0,33.0
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,0.0,,0.0,9.0,,,0.0,-1.0
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,0.0,,0.0,29.0,,,,45.0
SYNTHETIC_USFL_2023_W2_GENERALS,2023-04-23,2023,2,USFL,MAULERS,GENERALS,0.0,,0.0,100.0,,,,12.0
SYNTHETIC_USFL_2023_W3_GENERALS,2023-04-30,2023,3,USFL,PANTHERS,GENERALS,0.0,1.0,2.0,180.0,,,2.0,98.0
SYNTHETIC_USFL_2023_W4_GENERALS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,0.0,,1.0,113.0,,,,38.0
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,0.0,,0.0,79.0,,,1.0,62.0
SYNTHETIC_USFL_2023_W7_GENERALS,2023-05-28,2023,7,USFL,GENERALS,PANTHERS,0.0,,1.0,89.0,,,,9.0
SYNTHETIC_USFL_2023_W9_GENERALS,2023-06-11,2023,9,USFL,GENERALS,STARS,0.0,,0.0,213.0,14.0,1.0,,28.0
SYNTHETIC_USFL_2023_W10_GENERALS,2023-06-17,2023,10,USFL,GENERALS,MAULERS,2.0,1.0,0.0,137.0,,,,68.0
