game_id,date,season,week,league,away,home,assists,blocks,catches,completions,def_rebounds,drops,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,goals,hockeyAssists,hucksCompleted,minutes,off_rebounds,plus_minus,points,rebounds,steals,throwAttempts,throwaways,turnovers,yardsReceived,yardsThrown
WNBA_202105140NYL,2021-05-14,2021,1,WNBA,IND,NYL,4.0,,,,2.0,,,1.0,,0.3,10.0,3.0,4.0,,,,,,,30.35,,-5.0,6.0,2.0,4.0,,,2.0,,
WNBA_202105160IND,2021-05-16,2021,1,WNBA,NYL,IND,5.0,,,,,,,1.0,,0.385,13.0,5.0,3.0,1.0,3.0,3.0,,,,29.733333333333334,,-7.0,13.0,,4.0,,,2.0,,
WNBA_202105190CON,2021-05-19,2021,1,WNBA,IND,CON,3.0,,,,4.0,,0.667,3.0,2.0,0.625,8.0,5.0,2.0,,,,,,,23.116666666666667,,-6.0,12.0,4.0,1.0,,,1.0,,
WNBA_202105210IND,2021-05-21,2021,1,WNBA,ATL,IND,1.0,,,,2.0,,0.5,2.0,1.0,0.3,10.0,3.0,,,,,,,,28.566666666666666,,-7.0,7.0,2.0,,,,3.0,,
WNBA_202105230IND,2021-05-23,2021,1,WNBA,WAS,IND,6.0,1.0,,,3.0,,,2.0,,0.444,9.0,4.0,1.0,1.0,5.0,5.0,,,,30.833333333333332,1.0,5.0,13.0,4.0,3.0,,,6.0,,
WNBA_202105250IND,2021-05-25,2021,1,WNBA,WAS,IND,4.0,,,,5.0,,,1.0,,0.429,7.0,3.0,2.0,1.0,4.0,4.0,,,,30.166666666666668,,-11.0,10.0,5.0,1.0,,,1.0,,
WNBA_202105280LVA,2021-05-28,2021,1,WNBA,IND,LVA,4.0,,,,2.0,,,1.0,,0.75,4.0,3.0,4.0,1.0,2.0,2.0,,,,20.333333333333332,,-11.0,8.0,2.0,,,,2.0,,
WNBA_202105300LVA,2021-05-30,2021,1,WNBA,IND,LVA,1.0,,,,2.0,,,,,0.286,7.0,2.0,1.0,,,,,,,17.25,1.0,-14.0,4.0,3.0,3.0,,,1.0,,
WNBA_202106010SEA,2021-06-01,2021,1,WNBA,IND,SEA,4.0,,,,3.0,,0.5,2.0,1.0,0.4,10.0,4.0,3.0,1.0,2.0,2.0,,,,20.583333333333332,1.0,,11.0,4.0,1.0,,,,,
WNBA_202106030LAS,2021-06-03,2021,1,WNBA,IND,LAS,4.0,,,,7.0,,,,,0.429,7.0,3.0,2.0,0.667,3.0,2.0,,,,32.416666666666664,1.0,-25.0,8.0,8.0,,,,3.0,,
WNBA_202106090CHI,2021-06-09,2021,1,WNBA,IND,CHI,2.0,,,,4.0,,,1.0,,0.25,8.0,2.0,4.0,1.0,1.0,1.0,,,,34.61666666666667,,-7.0,5.0,4.0,4.0,,,3.0,,
