game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,1.0,,1.0,95.0,10.0,6.0,171.0,1.0,2.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,1.0,,1.0,3.0,81.0,9.0,,,,
