game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,field_goal_yards,forced_fumbles,fumble_recoveries,interceptions_lost,passing_tds,passing_yards,patkick,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
3002611352443,,,5,,,,,,,,,,0.0,,,2.0,2.0,184.0,0.0,,,,,0.0,69.0,10.0,0.0,10.0,,
FOOTBALL_AF1_2026_4_11_T602555G1168200@T584635,2026-04-11,2026,1,AF1,Minnesota Monsters,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,10.0
FOOTBALL_AF1_2026_4_18_T584635G1168204@T584761,2026-04-18,2026,2,AF1,Albany Firebirds,Beaumont Renegades,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,1.0,8.0
FOOTBALL_AF1_2026_4_25_T584635G1168207@T584638,2026-04-26,2026,3,AF1,Albany Firebirds,Oregon Lightning,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,7.0
FOOTBALL_AF1_2026_5_2_T584635G1168211@T584641,2026-05-02,2026,4,AF1,Albany Firebirds,Washington Wolfpack,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,1.0,15.0
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,11.0
FOOTBALL_AF1_2026_5_16_T584635G1168219@T606163,2026-05-16,2026,6,AF1,Albany Firebirds,Michigan Arsenal,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,5.0
FOOTBALL_AF1_2026_5_30_T612138G1168387@T584635,2026-05-30,2026,8,AF1,Oceanside Bombers,Albany Firebirds,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,6.0
FOOTBALL_AF1_2026_6_5_T584761G1168390@T584635,2026-06-05,2026,9,AF1,Beaumont Renegades,Albany Firebirds,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,1.0
FOOTBALL_AF1_2026_6_12_T606163G1168394@T584635,2026-06-12,2026,10,AF1,Michigan Arsenal,Albany Firebirds,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,4.0
FOOTBALL_AF1_2026_6_20_T584635G1168398@T584637,2026-06-20,2026,11,AF1,Albany Firebirds,Nashville Kats,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,4.0
