game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passer_rating,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yards_per_game,passing_yds_lost,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,rushing_yards_per_game,solo_tackles,tackles,total_yards,yards_per_game
FOOTBALL_NAL_2021_carolina-cobras_SEASON_TOTAL,2021-12-31,,0,,,CAROLINA COBRAS,,47.1,1.0,0.0,48.0,1.0,12.0,0.0,0.0,12.0,6.0,17.0,8.0,,18.0,4.8,95.2,,,,,1.0,82.0,9.1,,0.0,0.0,2.0,9.8,35.0,,2.0,244.0,27.1,25.0,2.8,3.9,28.0,20.0,,6.0,78.0,8.7,,,334.0,37.1
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,8.0,,2.0,,2.0,3.0,2.0,0.0,1.0,4.0,,,,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,,722.0,,,,0.0,1.0,13.0,0.0,0.0,13.0,18.0,13.0,5.0,0.0,7.0,,120.0,0.0,2.0,111.0,,90.0,,0.0,,,,,,,,,,,,7.0,0.0,14.0,1.0,1.0,92.0,,,,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,,588.0,,,,2.0,,,,,,17.0,10.0,7.0,0.0,9.0,,72.0,0.0,2.0,118.0,,85.0,,0.0,,,,,,,,,,,,4.0,0.0,14.0,0.0,3.0,58.0,,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,500.0,,,,0.0,,,,,,10.0,5.0,5.0,17.0,7.0,,59.0,0.0,0.0,0.0,,36.0,,0.0,,,,,,,,,,,,5.0,23.0,19.0,0.0,2.0,90.0,,,,,
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,27.0,,2.0,38.0,,3.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,20.0,,2.0,58.0,,6.0,,0.0,0.0,1.0,,0.0,0.0,,,,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,7.0,,1.0,19.0,,3.0,,,,,,,,,1.0,1.0,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,727.0,,,,1.0,,,,,,22.0,16.0,6.0,0.0,14.0,,124.0,3.0,3.0,136.0,,217.0,,14.0,,,,,,,,,,,,4.0,9.0,8.0,0.0,0.0,28.0,,,,,
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6,37.0,,2.0,73.0,,5.0,,,,,,,,,,,,
