game_id,date,season,week,league,away,home,attempts,avg,long,td,yards
FOOTBALL_XLEAGUE_2011_SEASON_TOTAL,,2011,1,XLEAGUE,,,25.0,17.7,48.0,6.0,442.0
FOOTBALL_XLEAGUE_2012_SEASON_TOTAL,,2012,1,XLEAGUE,,,13.0,9.9,29.0,,129.0
FOOTBALL_XLEAGUE_2014_SEASON_TOTAL,,2014,1,XLEAGUE,,,5.0,14.0,39.0,1.0,70.0
FOOTBALL_XLEAGUE_2015_SEASON_TOTAL,,2015,1,XLEAGUE,,,20.0,14.0,58.0,3.0,280.0
FOOTBALL_XLEAGUE_2016_SEASON_TOTAL,,2016,1,XLEAGUE,,,20.0,12.6,37.0,1.0,251.0
FOOTBALL_XLEAGUE_2018_SEASON_TOTAL,,2018,1,XLEAGUE,,,26.0,10.9,35.0,2.0,282.0
