game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,,2.0,1.0,1.0,,,1.0,,11.0,13.0
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,1.0,,,,,,,,,
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,,1.0,3.0,2.0,1.0,,2.0,,14.0,
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,,,4.0,3.0,1.0,,3.0,,48.0,4.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,,,3.0,3.0,,,3.0,,23.0,-6.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,,,3.0,1.0,1.0,,1.0,,75.0,14.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,,,1.0,1.0,,,1.0,,11.0,-3.0
2023-06-30-COL-POR,2023-06-30,2023,10,,COL,POR,,0.0,6.0,5.0,0.0,,6.0,,81.0,40.0
2023-07-01-COL-SEA,2023-07-01,2023,10,,COL,SEA,,,,,,1.0,,1.0,,
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,,,1.0,1.0,,,1.0,,8.0,2.0
