player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
adam-drexler,Adam Drexler,P,0.0,0.0,0.0,0.0,0.0,0.0,2.0
amir-johnson,Amir Johnson,P,3.0,0.0,0.0,0.0,1.0,4.0,1.0
david-hawkins,David Hawkins,P,1.0,0.0,0.0,0.0,1.0,1.0,0.0
deshawn-stephens,Deshawn Stephens,P,9.0,1.0,0.0,0.0,1.0,19.0,0.0
dusan-bulut,Dusan Bulut,P,2.0,2.0,0.0,4.0,1.0,2.0,0.0
earl-clark,Earl Clark,P,9.0,1.0,0.0,1.0,1.0,9.0,3.0
isaiah-briscoe,Isaiah Briscoe,P,3.0,0.0,0.0,1.0,0.0,3.0,0.0
james-white,James White,P,2.0,0.0,0.0,0.0,0.0,6.0,1.0
karlis-lasmanis,Karlis Lasmanis,P,6.0,1.0,0.0,4.0,1.0,13.0,2.0
tomislav-ivosev,Tomislav Ivosev,P,3.0,0.0,0.0,3.0,0.0,10.0,0.0
