player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
adrian-adams,Adrian Adams,WR,,,,0.0,10365.0,1197.0,,
darien-townsend,DARIEN TOWNSEND,WR,,,,260.0,4674.0,260.0,,
duane-brown,DUANE  BROWN,WR,,,,187.0,9872.0,893.0,,
desmond-maxwell,Desmond  Maxwell,RB,,,,,,,0.0,658.0
isaiah-scott,Isaiah Scott,WR,,,,270.0,6598.0,484.0,,
jamaar-moore,Jamaar Moore,WR,,,,396.0,3917.0,715.0,,
jevin-frett,Jevin Frett,WR,,,,370.0,31462.0,2963.0,,
keith-nemasango,Keith Nemasango,RB,,,,,,,0.0,1046.0
sam-castronova,Sam Castronova,QB,302.0,1655.0,48525.0,,,,589.0,4204.0
shawn-mcfarland,Shawn Mcfarland,RB,,,,0.0,15048.0,342.0,0.0,3785.0
