player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
calvin-fance,Calvin Fance,RB,,,,,,,1.0,17.0
dalton-cole,Dalton Cole,QB,3.0,4.0,200.0,,,,2.0,8.0
maurice-ashley,Maurice Ashley,WR,,,,0.0,14.0,4.0,1.0,5.0
