player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-gravatt,Alex Gravatt,P,,1.0,,1.0,,,1.0,,,,,,,3.0,
andrew-meshnick,Andrew Meshnick,P,,2.0,,7.0,3.0,,2.0,,,,,5.0,2.0,82.0,23.0
anthony-gutowsky,Anthony Gutowsky,P,2.0,,,13.0,7.0,,5.0,,,,,8.0,1.0,218.0,46.0
bret-bergmeier,Bret Bergmeier,P,1.0,1.0,,8.0,5.0,,1.0,1.0,,,,7.0,2.0,60.0,36.0
bryan-vohnoutka,Bryan Vohnoutka,P,3.0,1.0,1.0,16.0,15.0,,2.0,,,,,15.0,,218.0,61.0
colin-berry,Colin Berry,P,1.0,1.0,,15.0,12.0,,2.0,,,,,13.0,1.0,220.0,88.0
daniel-garlock,Daniel Garlock,P,,2.0,,7.0,8.0,,1.0,,,4.0,,10.0,2.0,61.0,62.0
dylan-declerck,Dylan DeClerck,P,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,10.0,3.0
eric-blais,Eric Blais,P,,,,6.0,3.0,,1.0,,,4.0,,5.0,2.0,35.0,9.0
henry-goldenberg,Henry Goldenberg,P,2.0,1.0,,29.0,35.0,1.0,1.0,1.0,1.0,,,37.0,2.0,115.0,204.0
jack-kelly,Jack Kelly,P,,,,17.0,13.0,,2.0,4.0,,,,15.0,2.0,150.0,55.0
jacob-wham,Jacob Wham,P,1.0,1.0,,8.0,8.0,,1.0,,,,,8.0,,93.0,32.0
jake-carrico,Jake Carrico,P,,1.0,,2.0,4.0,,,,,,,4.0,,-9.0,31.0
james-kittlesen,James Kittlesen,P,,,,2.0,1.0,,,,,,,1.0,,14.0,-6.0
jason-tschida,Jason Tschida,P,,1.0,,52.0,54.0,,2.0,1.0,,,,57.0,2.0,-24.0,189.0
joe-leibforth,Joe Leibforth,P,,1.0,,1.0,3.0,,,1.0,,,,3.0,,10.0,36.0
jordan-taylor,Jordan Taylor,P,1.0,,,23.0,22.0,,1.0,2.0,1.0,,,23.0,1.0,117.0,136.0
josh-klane,Josh Klane,P,4.0,,,60.0,66.0,1.0,,4.0,4.0,,,69.0,3.0,45.0,454.0
joshua-wilson,Joshua Wilson,P,2.0,,,11.0,14.0,,,1.0,,,,16.0,2.0,49.0,104.0
kai-delorenzo,Kai DeLorenzo,P,2.0,1.0,,18.0,18.0,1.0,,3.0,3.0,6.0,,24.0,5.0,122.0,236.0
kelsen-alexander,Kelsen Alexander,P,1.0,,,11.0,14.0,,,2.0,,,,15.0,1.0,26.0,112.0
luke-marks,Luke Marks,P,,,,5.0,4.0,,,,,4.0,,5.0,1.0,44.0,20.0
marco-dregni,Marco Dregni,P,,,,18.0,14.0,1.0,3.0,2.0,,,,15.0,1.0,123.0,13.0
marty-adams,Marty Adams,P,2.0,1.0,,7.0,6.0,,,,,,,7.0,,94.0,79.0
michael-jordan,Michael Jordan,P,1.0,1.0,,7.0,5.0,,,,,,,7.0,1.0,128.0,17.0
mickey-walsh,Mickey Walsh,P,,1.0,,4.0,3.0,1.0,1.0,,,,,4.0,1.0,50.0,2.0
nico-ranabhat,Nico Ranabhat,P,1.0,,,4.0,3.0,,1.0,,,,,3.0,,97.0,8.0
quinn-snider,Quinn Snider,P,2.0,,,22.0,18.0,,4.0,1.0,,,,18.0,,270.0,28.0
sam-berglund,Sam Berglund,P,1.0,,,15.0,19.0,,1.0,,,14.0,1.0,20.0,1.0,8.0,102.0
sebastian-brauer,Sebastian Brauer,P,,,,6.0,6.0,,,,,4.0,,7.0,1.0,9.0,71.0
shane-otis,Shane Otis,P,,,,2.0,2.0,,,1.0,,,,2.0,,20.0,7.0
tanner-barcus,Tanner Barcus,P,,1.0,,12.0,11.0,,,2.0,1.0,,,11.0,,40.0,94.0
ted-schewe,Ted Schewe,P,2.0,1.0,,23.0,24.0,,1.0,1.0,,,,24.0,,99.0,149.0
thomas-coolidge,Thomas Coolidge,P,,,,23.0,22.0,,1.0,2.0,,,,22.0,,205.0,78.0
tristan-van-de-moortele,Tristan Van de Moortele,P,,,,44.0,51.0,,,1.0,,2.0,,54.0,3.0,117.0,116.0
tyler-thomegreene,Tyler Thomegreene,P,,,,1.0,4.0,,,,,,,4.0,,12.0,14.0
victor-luo,Victor Luo,P,4.0,,,27.0,30.0,,,,2.0,1.0,,34.0,3.0,76.0,286.0
will-casperson,Will Casperson,P,,1.0,,3.0,3.0,,,,,,,5.0,2.0,-3.0,11.0
