player_id,player_name,positions,assists,blk,cto,goals,lb,pim,sog,to
alex-simmons,Alex Simmons,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blake-gibson-mcdonald,Blake Gibson-McDonald,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brendan-bomberry,Brendan Bomberry,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clarke-petterson,Clarke Petterson,P,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
cody-jamieson,Cody Jamieson,P,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
colton-armstrong,Colton Armstrong,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
colton-watkinson,Colton Watkinson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curtis-romanchych,Curtis Romanchych,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dawson-theede,Dawson Theede,P,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
devon-williams,Devon Williams,RB/WR/TE/P,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
ethan-walker,Ethan Walker,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
graeme-hossack,Graeme Hossack,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jackson-nishimura,Jackson Nishimura,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jake-withers,Jake Withers,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jason-knox,Jason Knox,P,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
jaxon-fridge,Jaxon Fridge,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joel-coyle,Joel Coyle,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnathan-peshko,Johnathan Peshko,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnny-pearson,Johnny Pearson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kyle-jackson,Kyle Jackson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kyle-rubisch,Kyle Rubisch,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mike-byrne,Mike Byrne,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mike-robinson,Mike Robinson,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nick-chaykowsky,Nick Chaykowsky,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patrick-kaschalk,Patrick Kaschalk,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
randy-staats,Randy Staats,P,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
ryan-terefenko,Ryan Terefenko,P,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
taggart-clark,Taggart Clark,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomas-hoggarth,Thomas Hoggarth,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tye-kurtz,Tye Kurtz,P,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
tyson-bell,Tyson Bell,P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wakeriat-bowhunter,Wake:Riat BowHunter,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will-johansen,Will Johansen,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will-macleod,Will MacLeod,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zac-masson,Zac Masson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zachary-young,Zachary Young,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
