player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
austin-taylor,Austin Taylor,P,3.0,,35.0,44.0,,1.0,2.0,1.0,1.0,44.0,,99.0,259.0
ben-close,Ben Close,P,,,3.0,3.0,,,,,,3.0,,31.0,-17.0
ben-landry,Ben Landry,P,,,17.0,15.0,,2.0,2.0,,,17.0,2.0,104.0,96.0
bobby-ley,Bobby Ley,P,5.0,,39.0,39.0,,,1.0,1.0,,40.0,1.0,55.0,219.0
bradley-seuntjens,Bradley Seuntjens,P,1.0,,4.0,4.0,,1.0,,,,4.0,,32.0,14.0
brett-hulsmeyer,Brett Hulsmeyer,P,1.0,6.0,18.0,19.0,,1.0,1.0,1.0,,20.0,1.0,170.0,105.0
cameron-brock,Cameron Brock,P,,,20.0,13.0,,6.0,,,,14.0,1.0,287.0,22.0
carter-rae,Carter Rae,P,3.0,,30.0,34.0,,,1.0,2.0,,35.0,1.0,94.0,229.0
christian-olsen,Christian Olsen,P,2.0,1.0,43.0,48.0,,1.0,6.0,,,49.0,1.0,55.0,233.0
conner-henderson,Conner Henderson,P,,,6.0,6.0,,,,,,6.0,,37.0,21.0
dean-ramsey,Dean Ramsey,P,1.0,2.0,3.0,2.0,,2.0,,,8.0,2.0,,102.0,11.0
fletcher-hare,Fletcher Hare,P,,1.0,3.0,3.0,,,,,4.0,4.0,1.0,11.0,-4.0
jp-burns,JP Burns,P,,,4.0,5.0,,1.0,2.0,1.0,5.0,7.0,2.0,31.0,68.0
jack-galle,Jack Galle,P,,,1.0,1.0,,,,,,1.0,,18.0,-4.0
jacob-blackman,Jacob Blackman,P,,1.0,2.0,1.0,,1.0,,,,1.0,,32.0,14.0
jacob-fella,Jacob Fella,P,,,3.0,2.0,,1.0,1.0,,,2.0,,65.0,-23.0
jakeem-polk,Jakeem Polk,P,1.0,,3.0,3.0,,,,,5.0,3.0,,25.0,22.0
jeremy-branson,Jeremy Branson,P,2.0,,24.0,25.0,,,1.0,1.0,,25.0,,-43.0,217.0
jeremy-keusch,Jeremy Keusch,P,,,12.0,9.0,1.0,1.0,1.0,,,11.0,2.0,128.0,36.0
jeremy-langdon,Jeremy Langdon,P,3.0,,8.0,7.0,,,,,4.0,7.0,,102.0,65.0
joey-cari,Joey Cari,P,,,15.0,15.0,,1.0,,,,15.0,,52.0,32.0
karl-ekwurtzel,Karl Ekwurtzel,P,,,18.0,14.0,,3.0,1.0,,,15.0,1.0,196.0,-2.0
keegan-north,Keegan North,P,1.0,,10.0,10.0,,,2.0,,,12.0,2.0,77.0,126.0
kennith-taylor,Kennith Taylor,P,1.0,1.0,8.0,7.0,,1.0,2.0,,,7.0,,45.0,44.0
levi-jacobs,Levi Jacobs,P,2.0,1.0,11.0,8.0,,1.0,,,,10.0,2.0,187.0,111.0
liam-haberfield,Liam Haberfield,P,2.0,,43.0,43.0,,,2.0,,,44.0,1.0,76.0,220.0
matt-smith,Matt Smith,P,1.0,,18.0,13.0,,5.0,2.0,,,13.0,,274.0,48.0
matthew-knowles,Matthew Knowles,P,1.0,,5.0,5.0,,,,,1.0,5.0,,38.0,41.0
max-thorne,Max Thorne,P,1.0,,30.0,28.0,,2.0,1.0,,,28.0,,136.0,115.0
mike-kobyra,Mike Kobyra,P,,2.0,,,,,,,,,,,
nick-hutton,Nick Hutton,P,1.0,1.0,4.0,5.0,,,,1.0,6.0,5.0,,-31.0,73.0
rick-gross,Rick Gross,P,3.0,,27.0,27.0,,,3.0,1.0,,27.0,,74.0,219.0
seth-gudeman,Seth Gudeman,P,,,7.0,6.0,,,,,,7.0,1.0,107.0,-24.0
tanner-robinson,Tanner Robinson,P,,,4.0,2.0,,2.0,1.0,,,2.0,,37.0,9.0
travis-carpenter,Travis Carpenter,P,2.0,,21.0,29.0,,1.0,,,,30.0,,77.0,168.0
trenton-spinks,Trenton Spinks,P,,,3.0,3.0,,,1.0,,1.0,3.0,,12.0,23.0
tyler-randall,Tyler Randall,P,,1.0,7.0,8.0,,2.0,1.0,1.0,,8.0,,43.0,55.0
will-wettengel,Will Wettengel,P,,3.0,4.0,6.0,,,,,,6.0,,44.0,60.0
xavier-payne,Xavier Payne,P,,,23.0,24.0,,1.0,3.0,1.0,6.0,29.0,5.0,142.0,122.0
