player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
anthony-gutowsky,Anthony Gutowsky,P,,,7.0,5.0,1.0,2.0,,,,5.0,,109.0,55.0
avery-johnson,Avery Johnson,P,1.0,,19.0,19.0,1.0,,3.0,,,19.0,,135.0,81.0
ben-close,Ben Close,P,,,2.0,2.0,,,,,,2.0,,-3.0,34.0
ben-landry,Ben Landry,P,,2.0,10.0,9.0,,1.0,3.0,,,9.0,,97.0,23.0
biz-schlaefer,Biz Schlaefer,P,,,1.0,,,,,,7.0,,,-4.0,
cameron-brock,Cameron Brock,P,2.0,,26.0,21.0,,4.0,1.0,,,22.0,1.0,306.0,68.0
carter-hawkins,Carter Hawkins,P,,,7.0,6.0,,1.0,1.0,,,6.0,,11.0,55.0
carter-rae,Carter Rae,P,3.0,,18.0,21.0,,1.0,1.0,1.0,2.0,21.0,,23.0,207.0
conner-henderson,Conner Henderson,P,1.0,1.0,6.0,6.0,,1.0,,,,6.0,,34.0,36.0
daniel-garlock,Daniel Garlock,P,,,34.0,31.0,,1.0,1.0,,,33.0,1.0,109.0,123.0
david-nester,David Nester,P,1.0,,12.0,12.0,,,2.0,,,12.0,,29.0,31.0
fletcher-hare,Fletcher Hare,P,1.0,1.0,9.0,7.0,,2.0,,,1.0,7.0,,144.0,21.0
henry-goldenberg,Henry Goldenberg,P,2.0,,70.0,71.0,1.0,1.0,2.0,2.0,,73.0,,92.0,453.0
jack-kelly,Jack Kelly,P,,,23.0,20.0,1.0,2.0,,1.0,,21.0,1.0,198.0,63.0
jacob-fella,Jacob Fella,P,,1.0,2.0,1.0,,,,,,2.0,1.0,24.0,8.0
jacob-wham,Jacob Wham,P,,1.0,3.0,3.0,,1.0,,,,3.0,,23.0,-1.0
jake-carrico,Jake Carrico,P,1.0,1.0,6.0,3.0,,1.0,,,,5.0,2.0,91.0,3.0
jeremy-branson,Jeremy Branson,P,1.0,,11.0,13.0,,,1.0,,,13.0,,65.0,75.0
jeremy-keusch,Jeremy Keusch,P,1.0,,18.0,16.0,,2.0,,,,16.0,,284.0,45.0
joe-leibforth,Joe Leibforth,P,,,2.0,1.0,,1.0,1.0,,,1.0,,49.0,14.0
joshua-wilson,Joshua Wilson,P,2.0,,21.0,23.0,,,,,,23.0,,3.0,87.0
keegan-north,Keegan North,P,5.0,,41.0,49.0,,,4.0,1.0,,49.0,,69.0,320.0
kelsen-alexander,Kelsen Alexander,P,1.0,,14.0,17.0,,1.0,2.0,1.0,,17.0,,64.0,195.0
levi-jacobs,Levi Jacobs,P,3.0,,18.0,15.0,,2.0,3.0,1.0,,16.0,1.0,291.0,179.0
luke-marks,Luke Marks,P,,1.0,8.0,9.0,,,,,11.0,10.0,1.0,104.0,-17.0
mac-weber,Mac Weber,P,,,14.0,14.0,,,,,,14.0,,23.0,87.0
matt-grinde,Matt Grinde,P,,,2.0,1.0,,1.0,,,,1.0,,18.0,4.0
nick-hutton,Nick Hutton,P,,2.0,5.0,4.0,,,,,13.0,6.0,2.0,-13.0,34.0
rick-gross,Rick Gross,P,1.0,,37.0,32.0,,5.0,1.0,,,32.0,,245.0,156.0
sam-stark,Sam Stark,P,1.0,,13.0,8.0,,5.0,1.0,1.0,,8.0,,214.0,60.0
seth-gudeman,Seth Gudeman,P,1.0,1.0,4.0,4.0,,1.0,,,,4.0,,69.0,-6.0
ted-schewe,Ted Schewe,P,5.0,,46.0,46.0,,1.0,2.0,1.0,,50.0,3.0,271.0,241.0
travis-carpenter,Travis Carpenter,P,1.0,,38.0,42.0,,,7.0,,,43.0,1.0,-32.0,358.0
victor-luo,Victor Luo,P,3.0,1.0,58.0,70.0,,,2.0,,,72.0,2.0,203.0,256.0
will-quigley,Will Quigley,P,,,2.0,2.0,,,,,,2.0,,29.0,10.0
will-wettengel,Will Wettengel,P,,1.0,,2.0,,,,,,2.0,,,23.0
xavier-payne,Xavier Payne,P,3.0,,39.0,42.0,,3.0,1.0,2.0,,44.0,1.0,181.0,189.0
