player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
adam-drexler,Adam Drexler,P,0.0,0.0,0.0,1.0,0.0,2.0,0.0
deshawn-stephens,Deshawn Stephens,P,4.0,0.0,0.0,2.0,0.0,6.0,0.0
dusan-bulut,Dusan Bulut,P,7.0,4.0,1.0,7.0,0.0,5.0,1.0
elijah-stewart,Elijah Stewart,P,5.0,0.0,0.0,2.0,1.0,5.0,1.0
isaiah-austin,Isaiah Austin,P,5.0,0.0,0.0,0.0,2.0,4.0,0.0
karlis-lasmanis,Karlis Lasmanis,P,6.0,3.0,0.0,2.0,0.0,5.0,1.0
keith-benson,Keith Benson,P,3.0,0.0,0.0,0.0,1.0,3.0,0.0
nick-young,Nick Young,P,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sek-henry,Sek Henry,P,4.0,3.0,0.0,0.0,0.0,2.0,0.0
tomislav-ivosev,Tomislav Ivosev,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
