player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
aidan-lopez-escarez,Aidan Lopez-Escarez,P,1.0,3.0,4.0,7.0,,1.0,1.0,,1.0,9.0,,-5.0,43.0
ben-levinsky,Ben Levinsky,P,,,3.0,2.0,,,,1.0,1.0,3.0,1.0,9.0,49.0
brandon-lin,Brandon Lin,P,,1.0,2.0,2.0,,2.0,1.0,,,2.0,,5.0,8.0
bryce-lozinski,Bryce Lozinski,P,1.0,,26.0,35.0,,,2.0,,,35.0,,129.0,231.0
caden-sigerud,Caden Sigerud,P,,,15.0,14.0,,1.0,1.0,,,14.0,,85.0,45.0
chris-roach,Chris Roach,P,,2.0,3.0,2.0,,,,,7.0,3.0,,33.0,15.0
clark-wang,Clark Wang,P,,,5.0,7.0,,,,,,8.0,1.0,3.0,80.0
dominic-jacobs,Dominic Jacobs,P,,,3.0,1.0,,,,,,1.0,,64.0,-3.0
elijah-salmon,Elijah Salmon,P,,,8.0,9.0,,,,,,9.0,,13.0,14.0
emmet-shipway,Emmet Shipway,P,,,1.0,1.0,,,,,1.0,1.0,,17.0,12.0
ethan-li,Ethan Li,P,,,20.0,25.0,,2.0,2.0,,,25.0,,89.0,182.0
garrett-hable,Garrett Hable,P,,3.0,8.0,8.0,,,,,,9.0,,28.0,9.0
garrett-martin,Garrett Martin,P,4.0,,37.0,32.0,,1.0,2.0,5.0,,36.0,,336.0,214.0
jack-brown,Jack Brown,P,,1.0,23.0,15.0,,2.0,1.0,,,20.0,3.0,352.0,101.0
jan-szmanda,Jan Szmanda,P,,,6.0,9.0,,,,,,11.0,2.0,9.0,65.0
jeffrey-silverman,Jeffrey Silverman,P,,,3.0,1.0,,,,,,2.0,1.0,37.0,7.0
jimmy-mcguinness,Jimmy McGuinness,P,,3.0,3.0,4.0,,,,,,4.0,,47.0,-16.0
jordan-queckboerner,Jordan Queckboerner,P,2.0,2.0,11.0,12.0,1.0,,1.0,,12.0,12.0,,40.0,41.0
kenny-lane-iii,Kenny Lane III,P,2.0,,26.0,34.0,,1.0,3.0,2.0,1.0,36.0,2.0,100.0,200.0
kota-sugahara,Kota Sugahara,P,1.0,1.0,17.0,18.0,,,2.0,,,19.0,1.0,41.0,119.0
kyle-rubin,Kyle Rubin,P,3.0,,24.0,24.0,,,2.0,,,25.0,1.0,159.0,79.0
louie-bertoncin,Louie Bertoncin,P,,,4.0,4.0,,,1.0,,,4.0,,65.0,22.0
max-gibson,Max Gibson,P,4.0,,25.0,22.0,,,1.0,2.0,,25.0,3.0,228.0,296.0
michael-tran,Michael Tran,P,1.0,,52.0,53.0,,6.0,5.0,,,54.0,1.0,159.0,382.0
nate-wipfler,Nate Wipfler,P,,2.0,1.0,3.0,1.0,1.0,,,,1.0,,32.0,32.0
parker-howard,Parker Howard,P,,,19.0,16.0,1.0,2.0,3.0,,,18.0,,200.0,171.0
peter-geertz-larson,Peter Geertz-Larson,P,,1.0,1.0,1.0,,1.0,2.0,,,1.0,,12.0,6.0
reggie-sung,Reggie Sung,P,,,5.0,3.0,1.0,1.0,,,,4.0,1.0,39.0,32.0
shane-davidson,Shane Davidson,P,,,9.0,8.0,,,,,1.0,11.0,2.0,-10.0,36.0
spencer-lofink,Spencer Lofink,P,1.0,2.0,13.0,12.0,,,,,,15.0,2.0,65.0,81.0
stefan-samu,Stefan Samu,P,2.0,,24.0,20.0,,4.0,2.0,,,20.0,,314.0,75.0
tarik-akyuz,Tarik Akyuz,P,2.0,1.0,5.0,4.0,,,1.0,1.0,5.0,5.0,1.0,20.0,8.0
thomas-konogeris,Thomas Konogeris,P,,,3.0,1.0,,2.0,,,,1.0,,80.0,6.0
tony-goss,Tony Goss,P,2.0,2.0,42.0,54.0,,1.0,6.0,2.0,,55.0,1.0,116.0,473.0
travis-dunn,Travis Dunn,P,6.0,,54.0,49.0,,3.0,3.0,3.0,,52.0,3.0,461.0,362.0
trevor-purdy,Trevor Purdy,P,,,7.0,5.0,,,,,6.0,6.0,1.0,46.0,-12.0
