player_id,player_name,positions,fumble_recoveries,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,rushing_tds,rushing_yards
cj-windham,C.J. Windham,WR,,,,,1.0,32.0,,
calum-sutherland,Calum Sutherland,K,0.0,,,,,,,
demilon-brown,Demilon Brown,RB,,,,,,,2.0,26.0
dominic-roberto,Dominic Roberto,RB,,,,,0.0,12.0,1.0,3.0
draysean-hudson,Draysean Hudson,WR,0.0,,,,0.0,65.0,0.0,5.0
harper-felix,"Harper, Felix",QB,,0.0,2.0,95.0,,,2.0,37.0
isaac-ross,Isaac Ross,WR,0.0,,,,1.0,73.0,,
isaiah-coulter,Isaiah Coulter,WR,,,,,0.0,25.0,,
jt-stokes,JT Stokes,WR,,,,,1.0,20.0,0.0,5.0
jack-studer,Jack Studer,WR,0.0,,,,1.0,25.0,,
jordan-davis,Jordan Davis,WR,0.0,,,,,,,
josiah-king,Josiah King,RB,,,,,,,2.0,90.0
liam-thompson,Liam Thompson,QB,,0.0,3.0,209.0,,,3.0,48.0
terrell-carey,Terrell Carey,WR,0.0,,,,1.0,46.0,0.0,9.0
