player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-heath,Alex Heath,P,,1.0,2.0,3.0,,,,,,,3.0,,12.0,-19.0
ben-lewis,Ben Lewis,P,,1.0,12.0,10.0,,1.0,1.0,,,,11.0,1.0,224.0,-8.0
brandon-dial,Brandon Dial,P,1.0,1.0,6.0,6.0,,,,,,,7.0,1.0,32.0,34.0
brandon-lin,Brandon Lin,P,,,3.0,1.0,,1.0,,,,,2.0,1.0,39.0,-8.0
brendan-adams,Brendan Adams,P,1.0,,22.0,27.0,,1.0,1.0,1.0,1.0,,30.0,3.0,100.0,221.0
brian-gfroerer,Brian Gfroerer,P,,,18.0,13.0,,1.0,,1.0,,,17.0,4.0,118.0,53.0
caleb-dixon,Caleb Dixon,P,2.0,,8.0,10.0,,,1.0,,,,10.0,,43.0,90.0
cam-albin,Cam Albin,P,1.0,,11.0,10.0,,1.0,,,,,10.0,,136.0,20.0
connor-bryant,Connor Bryant,P,1.0,,10.0,11.0,1.0,2.0,,,,,12.0,1.0,39.0,82.0
connor-ughetta,Connor Ughetta,P,4.0,,24.0,27.0,,1.0,1.0,,5.0,,31.0,4.0,111.0,223.0
dane-bossert,Dane Bossert,P,,,1.0,1.0,,,,,,,1.0,,8.0,-2.0
duncan-fitzgerald,Duncan Fitzgerald,P,2.0,1.0,27.0,41.0,,1.0,3.0,2.0,,,45.0,3.0,80.0,361.0
elliot-sakach,Elliot Sakach,P,1.0,1.0,7.0,7.0,,,,,,,7.0,,13.0,38.0
elliott-moore,Elliott Moore,P,4.0,1.0,14.0,13.0,,,2.0,2.0,4.0,,16.0,3.0,63.0,194.0
eric-brodbeck,Eric Brodbeck,P,,,5.0,2.0,,4.0,,,,,3.0,1.0,124.0,19.0
eric-carter,Eric Carter,P,,,5.0,7.0,,,1.0,1.0,,,7.0,,14.0,81.0
evan-swiatek,Evan Swiatek,P,3.0,1.0,20.0,21.0,1.0,2.0,3.0,,,,21.0,,270.0,142.0
jacob-sames,Jacob Sames,P,1.0,1.0,9.0,8.0,1.0,,1.0,,,,9.0,,150.0,43.0
jake-radack,Jake Radack,P,3.0,,40.0,41.0,,1.0,3.0,1.0,,,44.0,2.0,105.0,352.0
jimmy-zuraw,Jimmy Zuraw,P,,2.0,28.0,26.0,,2.0,2.0,,,,32.0,4.0,168.0,135.0
joey-wylie,Joey Wylie,P,1.0,1.0,6.0,4.0,,1.0,,,,,5.0,1.0,82.0,42.0
john-dowling,John Dowling,P,,,2.0,2.0,,,,,,,2.0,,19.0,25.0
john-shelley,John Shelley,P,4.0,,18.0,25.0,1.0,1.0,,2.0,1.0,,26.0,1.0,21.0,272.0
jordan-salazar,Jordan Salazar,P,,,3.0,2.0,,,,,,,2.0,,16.0,-3.0
joshua-zdrodowski,Joshua Zdrodowski,P,,2.0,4.0,2.0,,3.0,,,8.0,,2.0,,41.0,31.0
kyle-henke,Kyle Henke,P,2.0,1.0,24.0,24.0,1.0,1.0,3.0,,,,26.0,2.0,189.0,137.0
mark-baldauf,Mark Baldauf,P,,1.0,17.0,13.0,,3.0,2.0,,,,15.0,2.0,221.0,76.0
mark-evans,Mark Evans,P,2.0,1.0,23.0,17.0,,4.0,2.0,1.0,,1.0,19.0,2.0,235.0,164.0
mark-henke,Mark Henke,P,,,6.0,3.0,,4.0,,,,,3.0,,48.0,30.0
matt-bennett,Matt Bennett,P,1.0,1.0,20.0,21.0,1.0,,1.0,1.0,11.0,,24.0,3.0,-5.0,251.0
matt-lyle,Matt Lyle,P,2.0,,8.0,10.0,,,,1.0,,,11.0,,71.0,118.0
matthew-armour,Matthew Armour,P,2.0,,8.0,7.0,,,,,1.0,,9.0,2.0,98.0,23.0
max-grove,Max Grove,P,1.0,1.0,6.0,7.0,,,1.0,1.0,,,7.0,,78.0,91.0
mick-walter,Mick Walter,P,,1.0,3.0,5.0,,,,,,,5.0,,-2.0,42.0
nick-loughran,Nick Loughran,P,,,6.0,7.0,,,,,1.0,,7.0,,37.0,-35.0
oliver-fay,Oliver Fay,P,1.0,2.0,6.0,4.0,,2.0,1.0,,9.0,,5.0,1.0,100.0,15.0
reese-bowman,Reese Bowman,P,2.0,1.0,7.0,7.0,,1.0,1.0,1.0,2.0,,7.0,,82.0,67.0
shane-worthington,Shane Worthington,P,,1.0,1.0,1.0,,,1.0,,,,1.0,,13.0,13.0
steven-kelly,Steven Kelly,P,,,5.0,3.0,,,,,,,4.0,1.0,43.0,-4.0
